Time,chA,chB
0,2942,2942
1,2941,2942
2,2944,2942
3,2940,2942
4,2941,2942
5,2942,2941
6,2941,2942
7,2942,2942
8,2942,2942
9,2943,2942
10,2941,2942
11,2941,2942
12,2940,2943
13,2941,2942
14,2941,2942
15,2942,2940
16,2941,2942
17,2941,2943
18,2942,2942
19,2941,2942
20,2941,2944
21,2942,2943
22,2942,2942
23,2942,2942
24,2941,2942
25,2941,2942
26,2941,2942
27,2941,2943
28,2942,2942
29,2941,2943
30,2941,2942
31,2942,2941
32,2940,2942
33,2942,2941
34,2941,2942
35,2943,2942
36,2941,2942
37,2940,2942
38,2940,2940
39,2942,2942
40,2941,2943
41,2942,2942
42,2942,2942
43,2941,2943
44,2941,2941
45,2940,2942
46,2941,2942
47,2942,2942
48,2943,2942
49,2941,2942
50,2942,2942
51,2940,2942
52,2941,2940
53,2941,2942
54,2940,2942
55,2942,2942
56,2941,2942
57,2941,2943
58,2942,2942
59,2942,2942
60,2942,2941
61,2941,2942
62,2942,2943
63,2942,2942
64,2941,2942
65,2941,2942
66,2942,2942
67,2941,2941
68,2941,2943
69,2942,2941
70,2941,2942
71,2941,2944
72,2942,2943
73,2941,2942
74,2941,2942
75,2941,2941
76,2940,2942
77,2941,2944
78,2939,2942
79,2942,2942
80,2942,2944
81,2941,2943
82,2942,2943
83,2942,2942
